date,bankroll,bet_size,profit,bet_on,odds_taken,predicted_prob,daily_return
2007-01-31,0.0008546211400854807,8.546211400854807e-05,0.00017092422801709615,Stosur S.,3.0,0.5,0.25
2007-01-31,0.0011751040676175359,0.0001281931710128221,0.00032048292753205526,Kirilenko M.,3.5,0.5,0.3749999999999998
2007-01-31,0.0011483971569898645,2.670691062767129e-05,-2.670691062767129e-05,Vesnina E.,2.1,0.5,-0.022727272727272818
2007-01-31,0.0008971852788983316,0.00025121187809153285,-0.00025121187809153285,Pratt N.,9.0,0.5,-0.21875
2007-02-01,0.000747654399081943,0.0001495308798163886,-0.0001495308798163886,Zheng J.,4.0,0.5,-0.16666666666666674
2007-02-01,0.0006355062392196516,0.00011214815986229144,-0.00011214815986229144,Likhovtseva E.,3.5,0.5,-0.15000000000000002
2007-02-01,0.0005220229822161423,0.00011348325700350921,-0.00011348325700350921,Santangelo M.,4.5,0.5,-0.1785714285714286
2007-02-01,0.000619902291381669,5.5931033808872386e-05,9.787930916552668e-05,Stosur S.,2.75,0.5,0.1875
2007-02-01,0.0004907559806771546,0.00012914631070451438,-0.00012914631070451438,Schiavone F.,7.0,0.5,-0.20833333333333348
2007-02-02,0.0003903740755386457,0.00010038190513850889,-0.00010038190513850889,Sugiyama A.,6.5,0.5,-0.20454545454545447
2007-02-02,0.00045088205724713574,3.735060599289511e-05,6.050798170849009e-05,Ivanovic A.,2.62,0.5,0.15500000000000003
2007-02-02,0.0003720115472331848,7.887051001395092e-05,-7.887051001395092e-05,Stosur S.,4.33,0.5,-0.17492492492492495
2007-02-02,0.0003100096226943207,6.200192453886413e-05,-6.200192453886413e-05,Vinci R.,4.0,0.5,-0.16666666666666674
2007-02-03,0.00042626323120469094,4.65014434041481e-05,0.00011625360851037025,Ivanovic A.,3.5,0.5,0.375
2007-02-03,0.00039748268457225744,2.8780546632433517e-05,-2.8780546632433517e-05,Dementieva E.,2.37,0.5,-0.06751824817518248
2007-02-04,0.00037064535002997,2.683733454228746e-05,-2.683733454228746e-05,Ivanovic A.,2.37,0.5,-0.06751824817518248
2007-02-05,0.00030445868038176104,6.618666964820892e-05,-6.618666964820892e-05,Krajicek M.,4.5,0.5,-0.1785714285714286
2007-02-06,0.0003615446829533412,3.2620572898045826e-05,5.70860025715802e-05,Muller M.,2.75,0.5,0.1875
2007-02-06,0.00030128723579445104,6.02574471588902e-05,-6.02574471588902e-05,Cohen Aloro S.,4.0,0.5,-0.16666666666666663
2007-02-06,0.00027617996614491346,2.5107269649537584e-05,-2.5107269649537584e-05,Szavay A.,2.5,0.5,-0.08333333333333326
2007-02-06,0.0002186424731980565,5.7537492946856973e-05,-5.7537492946856973e-05,Rezai A.,7.0,0.5,-0.20833333333333337
2007-02-06,0.0004099546372463559,4.251381423295543e-05,0.00019131216404829943,Bychkova E.,5.5,0.5,0.875
2007-02-07,0.00033308814276266415,7.686649448369174e-05,-7.686649448369174e-05,Poutchkova O.,5.0,0.5,-0.1875000000000001
